id,Normal,Predicted,Probability,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,1,good,0.8879079,0,67,male,2,own,,little,1169,6,radio/TV,good
1,0,bad,0.38898724,1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
2,1,good,0.8593222,2,49,male,1,own,little,,2096,12,education,good
3,1,good,0.6956298,3,45,male,2,free,little,little,7882,42,furniture/equipment,good
4,0,good,0.6295129,4,53,male,2,free,little,little,4870,24,car,bad
5,1,good,0.6863346,5,35,male,1,free,,,9055,36,education,good
6,1,good,0.85457814,6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good
7,1,good,0.75613016,7,35,male,3,rent,little,moderate,6948,36,car,good
8,1,good,0.8553957,8,61,male,1,own,rich,,3059,12,radio/TV,good
9,0,good,0.5324504,9,28,male,3,own,little,moderate,5234,30,car,bad
10,0,bad,0.29125664,10,25,female,2,rent,little,moderate,1295,12,car,bad
11,0,bad,0.3271076,11,24,female,2,rent,little,little,4308,48,business,bad
12,1,good,0.6206397,12,22,female,2,own,little,moderate,1567,12,radio/TV,good
13,0,good,0.63329726,13,60,male,1,own,little,little,1199,24,car,bad
14,1,good,0.57937086,14,28,female,2,rent,little,little,1403,15,car,good
15,0,good,0.6465228,15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
16,1,good,0.87158924,16,53,male,2,own,,,2424,24,radio/TV,good
17,1,good,0.6025605,17,25,male,2,own,,little,8072,30,business,good
18,0,bad,0.25293565,18,44,female,3,free,little,moderate,12579,24,car,bad
19,1,good,0.8025875,19,31,male,2,own,quite rich,,3430,24,radio/TV,good
20,1,good,0.8906316,20,48,male,2,own,little,,2134,9,car,good
21,1,good,0.9239287,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
22,1,good,0.86355126,22,48,male,1,rent,little,little,2241,10,car,good
23,1,good,0.8424459,23,44,male,2,own,moderate,moderate,1804,12,car,good
24,1,good,0.81593657,24,26,male,2,own,,,2069,10,furniture/equipment,good
25,1,good,0.9039757,25,36,male,1,own,little,little,1374,6,furniture/equipment,good
26,1,good,0.88805026,26,39,male,1,own,little,,426,6,radio/TV,good
27,1,good,0.82143855,27,42,female,2,rent,rich,rich,409,12,radio/TV,good
28,1,good,0.9056532,28,34,male,2,own,little,moderate,2415,7,radio/TV,good
29,0,good,0.5032647,29,63,male,2,own,little,little,6836,60,business,bad
